Ghost_Name,Algorithm,Search_Time(s),Expanded_Nodes,Memory_Usage(MB),Ghost_Pos_X,Ghost_Pos_Y,Pacman_Pos_X,Pacman_Pos_Y
PinkGhost,DFS,0.038209,444,0.083760,28,28,17,9
OrangeGhost,UCS,0.000536,60,0.007856,14,9,17,9
BlueGhost,BFS,0.001004,23,0.005600,15,6,17,9
RedGhost,A*,0.000924,25,0.009848,12,9,17,9
PinkGhost,DFS,0.003695,142,0.031272,28,29,16,9
OrangeGhost,UCS,0.001050,34,0.005544,14,8,16,9
BlueGhost,BFS,0.000000,16,0.005032,16,6,16,9
RedGhost,A*,0.000000,16,0.007824,13,9,16,9
PinkGhost,DFS,0.003695,142,0.031272,28,29,16,9
BlueGhost,BFS,0.000000,11,0.002752,16,6,16,9
RedGhost,A*,0.000000,16,0.007824,13,9,16,9
OrangeGhost,UCS,0.001050,34,0.005544,14,8,16,9
PinkGhost,DFS,0.003695,142,0.031272,28,29,16,9
BlueGhost,BFS,0.000000,11,0.002752,16,6,16,9
RedGhost,A*,0.000000,16,0.007824,13,9,16,9
OrangeGhost,UCS,0.001050,34,0.005544,14,8,16,9
PinkGhost,DFS,0.003695,142,0.031272,27,29,16,9
BlueGhost,BFS,0.000000,11,0.002752,16,7,16,9
OrangeGhost,UCS,0.001050,34,0.005544,14,7,16,9
RedGhost,A*,0.000000,16,0.007824,14,9,16,9
PinkGhost,DFS,0.004393,142,0.031592,27,29,16,10
OrangeGhost,UCS,0.000000,45,0.006664,14,7,16,10
BlueGhost,BFS,0.000000,11,0.002752,16,7,16,10
RedGhost,A*,0.000000,16,0.008112,14,9,16,10
PinkGhost,DFS,0.004393,142,0.031592,27,29,16,10
OrangeGhost,UCS,0.000000,45,0.006664,14,7,16,10
BlueGhost,BFS,0.000000,5,0.002192,16,7,16,10
RedGhost,A*,0.000000,16,0.008112,14,9,16,10
PinkGhost,DFS,0.004393,142,0.031592,27,28,16,10
OrangeGhost,UCS,0.000000,45,0.006664,14,6,16,10
BlueGhost,BFS,0.000000,5,0.002192,16,8,16,10
RedGhost,A*,0.000000,16,0.008112,14,8,16,10
PinkGhost,DFS,0.004393,142,0.031592,27,28,16,10
OrangeGhost,UCS,0.000000,45,0.006664,14,6,16,10
BlueGhost,BFS,0.000000,5,0.002192,16,8,16,10
RedGhost,A*,0.000000,16,0.008112,14,8,16,10
PinkGhost,DFS,0.004393,142,0.031592,27,28,16,10
OrangeGhost,UCS,0.000000,45,0.006664,14,6,16,10
BlueGhost,BFS,0.000000,5,0.002192,16,8,16,10
RedGhost,A*,0.000000,16,0.008112,14,8,16,10
PinkGhost,DFS,0.004393,142,0.031592,27,27,16,10
BlueGhost,BFS,0.000000,5,0.002192,16,9,16,10
OrangeGhost,UCS,0.000000,45,0.006664,15,6,16,10
RedGhost,A*,0.000000,16,0.008112,14,7,16,10
PinkGhost,DFS,0.004393,142,0.031592,27,27,16,10
BlueGhost,BFS,0.000000,5,0.002192,16,9,16,10
OrangeGhost,UCS,0.000000,45,0.006664,15,6,16,10
RedGhost,A*,0.000000,16,0.008112,14,7,16,10
BlueGhost,BFS,0.000000,0,0.000000,1,1,15,15
PinkGhost,DFS,0.000000,0,0.000000,28,1,15,15
OrangeGhost,UCS,0.000000,0,0.000000,1,29,15,15
RedGhost,A*,0.000000,0,0.000000,28,29,15,15
BlueGhost,BFS,0.000000,0,0.000000,2,1,15,15
